title,artist,spotify_id,cover_id,comment
Dance the Night Away,TWICE,5ilOXZ0vqTX69rjRubPivH,ab67616d00001e0240d7efd2594a2b6bda60ea18,"lowk the perfect song to start the weekend off with!! no thoughts just vibes and dancing into the night"
FANCY,TWICE,2FXd6kKCtBIc6UfN1gH1pA,ab67616d00001e02ff7c2dfd0ed9b2cf6bf9c818,"if you're not in a rly cheerful mood after this i fear you may not have a soul"
Feel Special,TWICE,14rWuS6yllHOdfZ8sZsZUj,ab67616d00001e02a6b5e9128d7029ebb48bcf2b,"the first (and tbh) only twice fanchant i know, singing this in concert was so peak >>>"
WANNABE,ITZY,4pspYVQGFHLPEFgQPD1J7e,ab67616d00001e0248eedf3cbb1d3636ccad7f3b,"iirc the first itzy song i listened to, i love them sm <3 esp the message too, my life might be a silly mess but i wanna be me me me"
I CAN'T STOP ME,TWICE,4viLaKGdHwhW8LkZB3mRFC,ab67616d00001e02844a4b52739db3287bd429f8,tbh i'm still not sure why I only listen to the english version of this song. this might be like top 3 songs to sing in the shower for me though
The Feels,TWICE,1XyzcGhmO7iUamSS94XfqY,ab67616d00001e02d1961ecb307c9e05ec8f7e82,this is the first ever twice song i listened to! so this will forever hold a special place in my heart
ICON,TWICE,78vV5Ww5jmY2BF8lHzAN3A,ab67616d00001e02d1961ecb307c9e05ec8f7e82,"for how calm the song sounds I feel very empowered by it, I think the lyrics are self-explanatory"
Fire in the belly,LE SSERAFIM,05RlBHEZg1RmL9DnPgv9Qq,ab67616d00001e0208afa023781dc4841319f3fc,"i rmbr listening to this while waiting for the bus everyday when it first came out, i swear the instrumentals are actual crack"
ETA,NewJeans,56v8WEnGzLByGsDAXDiv4d,ab67616d00001e020744690248ef3ba7b776ea7b,"i miss newjeans :("
I GOT YOU,TWICE,35dhwUoJNlxrPyEIJkfDnx,ab67616d00001e02fbae2bd369c2e568fa9ee12a,"for a song made by a group i wouldnt even see in person until years later i felt weirdly loved and touched by this song"
Algorhythm,ITZY,47tYRja2sNmaF0tFFY3D2a,ab67616d00001e026758dbda8b4d2d817cf282bd,"i have a weird superstition with this song since it happened to release the same day I finally won uil state (individually), so now I go into every cs exam i take listening to this"
Imaginary Friend,ITZY,06BeeZaS4YArThfTMu80QS,ab67616d00001e02990a2176a2bc92280e98335c,"for a group with so many powerful songs it's insane how they dropped a song like this. if you listen to this watch the MV too, i think i genuinely cried for a bit just from the vibes of this"
HANDS UP,MEOVV,2nopDUxom21JoMzFXj9wS0,ab67616d00001e028cd017baa1c8a151ca708209,"this song's how i first discovered meovv and i can't exaggerate how often i looped this at the start. it's very like afrobeats core? at least according to a friend who i was talking with"
CHOOM,BABYMONSTER,4cox7ONwuCwUvfZ9fsGDVu,ab67616d00001e0274421085d8f38435d4d87d2f,"춤 is literally Korean for dance, and baemon understood the assignment with it fr"
RIGHT HAND GIRL,TWICE,3uREJgkcgTVa6N6zc7w1kH,ab67616d00001e02393ae2f0bd79be4d87335d0a,"the cream of the crop song from their This is For album imo, especially seeing this irl like i was gagged"
r u ok?,ifeye,7LwQfsJ7JzgfFr7ErvcTs6,ab67616d00001e0284da99b02d1ed77eb1e764c8,"i think i literally stumbled across this song because of insta reels... and now suddenly im impatiently waiting for ifeye to drop more bangers like this"
TUNNEL VISION,ITZY,5xCiLM4z1C40vHKM9r2xJ1,ab67616d00001e02737745c1ab0a8490e23e3487,"actually love the visuals from this album as a whole, i NEED to be at this tour PLEASE."
Holiday,Stray Kids,7FXKNJyVAbN3l72GHePFqu,ab67616d00001e0256e76da474c7b448315af4fb,"wow a boy group song?? idk i think i just personally relate to this a lot especially during the school year, it's a very lowkey vibe song too"
Heavy Serenade,NMIXX,1404zSB6dqMIiStHLI7gg4,ab67616d00001e02bbecb95942f283598af3bc40,"someone needs to study how JYPE got six S+ tier vocalists in the same group, this song is actual heaven to the ears"
Motto,ITZY,3H82Jpo0SI3UvWP6Ol8mWn,ab67616d00001e027f20fc1272dabb32bf9598d8,"one of those songs definitely written with a glitter pen, actually addicting and the perfect pre-summer release for 2026 (wow I feel old saying that)"